customer_city,lane_class,open_shipments,at_risk_shipments,already_breached,p1_count,at_risk_pct,lane_status
Bangalore,Metro,9,9,9,9,100.0,Breach Risk
Mumbai,Local,7,7,7,7,100.0,Breach Risk
Gurgaon,Metro,6,6,6,6,100.0,Breach Risk
Pune,Metro,6,6,6,6,100.0,Breach Risk
Hyderabad,Metro,4,4,4,4,100.0,Insufficient Sample
Lucknow,National,4,4,4,4,100.0,Insufficient Sample
Ajmer,National,3,3,2,2,100.0,Insufficient Sample
East Delhi,National,3,3,3,3,100.0,Insufficient Sample
Ernakulam,National,3,3,3,3,100.0,Insufficient Sample
Gautam Buddha Nagar,Metro,3,3,3,3,100.0,Insufficient Sample
Kota,National,3,3,3,3,100.0,Insufficient Sample
Nellore,National,3,3,3,3,100.0,Insufficient Sample
Chennai,Metro,2,2,2,2,100.0,Insufficient Sample
Damoh,Regional,2,2,2,2,100.0,Insufficient Sample
Firozpur,National,2,2,2,2,100.0,Insufficient Sample
Ghaziabad,National,2,2,2,2,100.0,Insufficient Sample
Indore,Regional,2,2,2,2,100.0,Insufficient Sample
Jaipur,National,2,2,2,2,100.0,Insufficient Sample
Latur,Regional,2,2,2,2,100.0,Insufficient Sample
Ludhiana,National,2,2,2,2,100.0,Insufficient Sample
North Delhi,National,2,2,2,2,100.0,Insufficient Sample
Patna,National,2,2,2,2,100.0,Insufficient Sample
Prakasam,National,2,2,2,2,100.0,Insufficient Sample
South Delhi,National,2,2,2,2,100.0,Insufficient Sample
South West Delhi,National,2,2,2,2,100.0,Insufficient Sample
Thane,Local,2,2,2,2,100.0,Insufficient Sample
Una,National,2,2,2,2,100.0,Insufficient Sample
West Delhi,National,2,2,2,2,100.0,Insufficient Sample
Adilabad,National,1,1,1,1,100.0,Insufficient Sample
Ahmedabad,Metro,1,1,1,1,100.0,Insufficient Sample
Aizawl,National,1,1,1,1,100.0,Insufficient Sample
Aligarh,National,1,1,1,1,100.0,Insufficient Sample
Alwar,National,1,1,1,1,100.0,Insufficient Sample
Amravati,Regional,1,1,0,0,100.0,Insufficient Sample
Amritsar,National,1,1,1,1,100.0,Insufficient Sample
BANGALORE,Metro,1,1,1,1,100.0,Insufficient Sample
Bangalore Rural,National,1,1,1,1,100.0,Insufficient Sample
