customer_city,lane_class,shipment_volume,edd_adherence_pct,avg_transit_days,p90_transit_days,ndr_pct,rto_pct,lost_pct,late_pct,cod_share_pct,cod_edd_adherence_pct,prepaid_edd_adherence_pct,trend_delta_pp,lane_health_score,lane_status
secunderabad,National,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
roorkee,National,1,100.0,5.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
nashik,Regional,1,100.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
Cuddalore,National,1,100.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
kotkapura,National,1,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,100.0,,100.0,Insufficient Sample
gwalior,Regional,1,100.0,3.0,3.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
bangalore,Metro,1,100.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
THANE,Local,1,100.0,3.0,3.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
Surendra Nagar,National,2,100.0,2.0,2.8,0.0,0.0,0.0,0.0,50.0,100.0,100.0,,100.0,Insufficient Sample
aizawl,National,1,100.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
Alwar,National,1,100.0,7.0,7.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,Insufficient Sample
THRISSUR,National,1,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,100.0,,100.0,Insufficient Sample
Sonipat,National,2,100.0,2.5,3.7,0.0,0.0,0.0,0.0,0.0,,100.0,,100.0,Insufficient Sample
Sundergarh,National,4,100.0,2.75,4.1,0.0,0.0,0.0,0.0,25.0,100.0,100.0,,100.0,Insufficient Sample
DHARMAVARAM,National,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,,100.0,Insufficient Sample
